Table S7. Overview of all assembled samples with >10 LARSFARDIG motifs. Key metadata are shown, along with the number of LARSFADIG motifs and var genes at different length cut-offs.                                    
Data of Pf6 and Elife can be found at https://www.malariagen.net/projects/p-falciparum-community-project#data                                    
Accession number of the pf3k can be found at https://www.malariagen.net/projects/pf3k#data                                    

ID2	Dataset	Accession number	Origin of sample	Year of sample collection	Part of normalised set?	# LARSFADIG motifs	# var genes > 1kb	# var genes > 3kb	# var genes > 3.5kb
PA0067-C	PF3K	ERS011019	Gambia, The	2008	1	51	118	40	29
PA0068-C	PF3K	ERS009970	Gambia, The	2008	1	53	108	60	58
PA0069-C	PF3K	ERS009971	Gambia, The	2008	1	56	102	61	54
PA0071-C	PF3K	ERS010078	Gambia, The	2008	1	50	139	53	40
PA0073-C	PF3K	ERS010076	Gambia, The	2008	1	58	110	30	25
PA0074-C	PF3K	ERS010069	Gambia, The	2008	1	55	91	54	53
PA0075-C	PF3K	ERS010074	Gambia, The	2008	1	52	114	41	37
PA0078-C	PF3K	ERS011014	Gambia, The	2008	1	51	81	52	46
PA0079-C	PF3K	ERS011008	Gambia	2008	1	54	112	58	55
PA0081-C	PF3K	ERS009676	Gambia, The	2008	1	52	72	62	59
PA0084-C	PF3K	ERS009972	Gambia, The	2008	0	104	188	110	98
PA0085-C	PF3K	ERS009672	Gambia, The	2008	1	67	128	69	63
PA0087-C	PF3K	ERS011011	Gambia, The	2008	1	49	106	56	49
PA0089-C	PF3K	ERS011010	Gambia, The	2008	1	53	103	57	47
PA0091-C	PF3K	ERS009973	Gambia, The	2008	1	45	89	38	32
PA0092-C	PF3K	ERS010068	Gambia, The	2008	1	61	125	69	60
PA0093-C	PF3K	ERS010077	Gambia, The	2008	1	53	105	64	55
PA0094-C	PF3K	ERS011005	Gambia, The	2008	1	46	133	45	34
PA0098-C	PF3K	ERS011018	Gambia, The	2008	1	73	110	74	70
PA0099-C	PF3K	ERS010080	Gambia, The	2008	1	50	86	61	52
PA0100-C	PF3K	ERS011020	Gambia, The	2008	1	53	81	57	56
PA0101-C	PF3K	ERS009975	Gambia, The	2008	1	50	109	46	40
PA0102-C	PF3K	ERS009673	Gambia, The	2008	1	54	90	58	55
PA0104-C	PF3K	ERS011015	Gambia, The	2008	1	58	81	57	54
PC0005-Cx	Elife	ERS154460	Kenya	2008	1	59	131	69	68
PC0007-C	Elife	ERS010402	Kenya	2008	1	14	395	2	0
PC0009-C	Elife	ERS010451	Kenya	2008	1	18	237	8	7
PC0016-C	Pf6	ERS010142	Kenya	2008	0	47	75	55	49
PC0019-C	Elife	ERS010452	Kenya	2008	1	32	349	15	11
PC0020-C	Elife	ERS010462	Kenya	2008	1	23	253	9	7
PC0021-C	Pf6	ERS010436	Kenya	2008	1	19	269	17	12
PC0023-C	Elife	ERS010453	Kenya	2008	1	32	329	13	10
PC0025-C	Pf6	ERS010437	Kenya	2008	0	22	273	29	19
PC0026-C	Elife	ERS010435	Kenya	2008	1	51	286	30	22
PC0030-C	Elife	ERS010438	Kenya	2008	1	37	402	19	12
PC0031-C	Elife	ERS010454	Kenya	2008	1	25	328	11	7
PC0032-C	Elife	ERS010455	Kenya	2008	1	46	287	20	15
PC0035-C	Pf6	ERS010466	Kenya	2008	1	28	457	3	3
PC0037-C	Pf6	ERS010464	Kenya	2008	1	26	332	10	4
PC0038-C	Pf6	ERS010465	Kenya	2008	0	13	244	0	0
PC0046-C	Elife	ERS016368	Kenya	2008	1	53	133	54	46
PC0047-C	Elife	ERS010641	Kenya	2008	1	54	103	62	61
PC0051-C	Elife	ERS010643	Kenya	2008	1	55	177	29	22
PC0053-C	Elife	ERS087025	Kenya	2008	1	52	107	56	54
PC0054-C	Elife	ERS016370	Kenya	2008	1	56	95	58	50
PC0056-C	Elife	ERS016371	Kenya	2008	1	60	169	54	48
PC0057-C	Elife	ERS016372	Kenya	2008	1	54	121	44	37
PC0058-C	Elife	ERS010644	Kenya	2008	1	58	130	71	63
PC0059-C	Elife	ERS016373	Kenya	2008	1	45	93	51	48
PC0061-C	Elife	ERS016374	Kenya	2008	1	120	303	138	118
PC0063-C	Elife	ERS010639	Kenya	2008	1	59	96	59	57
PC0064-C	Elife	ERS010638	Kenya	2008	1	14	58	2	0
PC0065-C	Elife	ERS010637	Kenya	2008	1	58	112	63	57
PC0066-C	Elife	ERS157472	Kenya	2008	1	18	31	19	16
PC0067-C	Elife	ERS157464	Kenya	2008	0	11	26	12	10
PC0069-C	Elife	ERS017458	Kenya	2008	1	53	79	59	51
PC0070-C	Elife	ERS017459	Kenya	2008	1	61	108	56	48
PC0071-C	Elife	ERS017460	Kenya	2008	1	74	126	77	70
PC0073-C	Elife	ERS017461	Kenya	2008	1	56	97	62	56
PC0077-C	Elife	ERS016375	Kenya	2008	1	62	146	53	45
PC0079-C	Elife	ERS016377	Kenya	2008	1	45	131	33	27
PC0080-C	Pf6	ERS017462	Kenya	2008	0	42	68	46	43
PC0083-C	Pf6	ERS017463	Kenya	2008	0	40	63	43	41
PC0085-C	Elife	ERS132626	Kenya	2008	1	92	230	98	87
PC0097-C	Elife	ERS132628	Kenya	2008	1	60	129	69	65
PC0103-C	Elife	ERS132629	Kenya	2008	1	60	112	62	56
PC0104-C	Elife	ERS074223	Kenya	2008	1	44	100	50	47
PC0107-C	Elife	ERS074224	Kenya	2008	1	49	96	56	54
PC0113-C	Elife	ERS074225	Kenya	2008	1	102	212	108	101
PC0118-C	Elife	ERS074226	Kenya	2008	1	65	133	70	65
PC0122-C	Elife	ERS074227	Kenya	2008	1	49	104	58	54
PC0008_02	Elife	ERS010457	Kenya	2008	1	30	370	14	12
PC0012_01	Elife	ERS010413; ERS010414	Kenya	2008	1	45	545	10	6
6816/PFKE09	ERS166374		Kenya	NA	1	42	166	49	48
10936/PFKE06	ERS166383		Kenya	NA	1	57	154	60	58
8383/PfKE03	ERS166384		Kenya	NA	1	52	151	58	57
10975/PFKE07	ERS166385		Kenya	NA	1	108	178	112	109
9626/PfKE02	ERS166375		Kenya	NA	1	60	150	70	65
11019/PFKE10	ERS166376		Kenya	NA	1	57	158	65	60
9215/PFKE12	ERS166377		Kenya	NA	1	57	149	62	61
9775/PFKE11	ERS166378		Kenya	NA	1	83	204	86	82
9605/PFKE08	ERS166379		Kenya	NA	1	56	165	59	57
9106/PFKE01	ERS166380		Kenya	NA	1	48	137	48	48
10668/PfKE04	ERS166381		Kenya	NA	1	82	271	71	66
11014/PfKE05	ERS166382		Kenya	NA	1	48	128	47	44
PD0460-C	PF3K	ERS142855	Thailand	2011	1	82	414	59	58
PD0461-C	PF3K	ERS142873	Thailand	2011	1	53	152	54	53
PD0462-C	PF3K	ERS142845	Thailand	2011	0	49	139	50	49
PD0464-C	PF3K	ERS142858	Thailand	2011	1	83	328	70	63
PD0466-C	PF3K	ERS142857	Thailand	2011	0	45	219	50	47
PD0467-C	PF3K	ERS142883	Thailand	2011	0	52	180	54	52
PD0468-C	PF3K	ERS164621	Thailand	2011	0	44	187	43	38
PD0469-C	PF3K	ERS142872	Thailand	2011	0	99	274	104	100
PD0470-C	PF3K	ERS142848	Thailand	2011	0	54	167	57	54
PD0471-C	PF3K	ERS142849	Thailand	2011	0	44	150	51	50
PD0472-C	PF3K	ERS142867	Thailand	2011	1	50	178	58	56
PD0473-C	PF3K	ERS142842	Thailand	2011	1	59	162	61	58
PD0474-C	PF3K	ERS142846	Thailand	2011	1	60	176	61	61
PD0475-C	PF3K	ERS142881	Thailand	2011	0	52	165	58	56
PD0476-C	PF3K	ERS142876	Thailand	2011	0	47	142	47	46
PD0477-C	PF3K	ERS142830	Thailand	2011	0	58	187	60	55
PD0478-C	PF3K	ERS142843	Thailand	2011	0	45	142	49	48
PD0479-C	PF3K	ERS142861	Thailand	2011	0	93	388	76	70
PD0480-C	PF3K	ERS142831	Thailand	2011	0	44	155	45	43
PD0481-C	PF3K	ERS142884	Thailand	2012	1	51	174	53	51
PD0482-C	PF3K	ERS142825	Thailand	2012	0	73	277	82	73
PD0483-C	PF3K	ERS142836	Thailand	2012	1	48	149	54	49
PD0484-C	PF3K	ERS142827	Thailand	2012	0	66	216	78	72
PD0485-C	PF3K	ERS142824	Thailand	2012	0	105	377	125	111
PD0487-C	PF3K	ERS142818	Thailand	2012	1	56	163	56	55
PD0488-C	PF3K	ERS142863	Thailand	2012	0	56	176	60	59
PD0489-C	PF3K	ERS142819	Thailand	2011	0	83	257	87	82
PD0490-C	PF3K	ERS142821	Thailand	2011	0	49	136	51	51
PD0491-C	PF3K	ERS142878	Thailand	2011	1	71	369	53	50
PD0492-C	PF3K	ERS142822	Thailand	2011	0	97	361	90	80
PD0493-C	PF3K	ERS142879	Thailand	2011	0	104	311	109	102
PD0494-C	PF3K	ERS142833	Thailand	2012	1	54	170	53	49
PD0495-C	PF3K	ERS142854	Thailand	2012	0	45	157	48	46
PD0496-C	PF3K	ERS142834	Thailand	2012	1	55	180	63	60
PD0497-C	PF3K	ERS142869	Thailand	2012	1	62	201	66	61
PD0498-C	PF3K	ERS142839	Thailand	2011	0	42	142	48	44
PD0499-C	PF3K	ERS142864	Thailand	2011	0	155	502	144	129
PD0500-C	PF3K	ERS142812	Thailand	2011	1	46	165	46	39
PD0501-C	PF3K	ERS142866	Thailand	2011	0	40	169	41	37
PD0502-C	PF3K	ERS142840	Thailand	2011	0	42	135	46	43
PD0503-C	PF3K	ERS142837	Thailand	2011	1	55	172	55	53
PD0505-C	PF3K	ERS142816	Thailand	2011	1	50	177	56	50
PD0506-C	PF3K	ERS142828	Thailand	2011	0	50	198	53	50
PD0507-C	PF3K	ERS142870	Thailand	2011	1	50	166	55	54
PD0508-C	PF3K	ERS142815	Thailand	2011	1	51	196	56	51
PD0509-Cx2	PF3K	ERS336350	Thailand	2011	1	48	282	44	36
PD0510-C	PF3K	ERS142852	Thailand	2011	1	49	140	53	48
PD0511-C	PF3K	ERS174631	Thailand	2011	1	53	162	54	48
PD0512-C	PF3K	ERS174632	Thailand	2011	0	42	149	48	44
PD0513-C	PF3K	ERS174521	Thailand	2011	1	58	171	63	58
PD0514-C	PF3K	ERS174633	Thailand	2011	1	50	141	52	48
PD0515-C	PF3K	ERS174634	Thailand	2011	1	73	300	65	54
PD0517-C	PF3K	ERS174523	Thailand	2012	0	91	275	96	89
PD0518-C	PF3K	ERS174524	Thailand	2012	1	55	157	56	55
PD0519-C	PF3K	ERS174635	Thailand	2012	1	74	270	76	74
PD0520-C	PF3K	ERS174636	Thailand	2012	0	46	144	51	49
PD0521-C	PF3K	ERS174525	Thailand	2012	0	52	162	54	52
PD0522-C	PF3K	ERS174526	Thailand	2012	0	40	138	44	38
PD0523-C	PF3K	ERS174637	Thailand	2012	1	51	156	55	52
PD0524-C	PF3K	ERS174638	Thailand	2012	1	51	209	53	51
PD0525-C	PF3K	ERS174639	Thailand	2012	0	51	171	54	48
PD0526-C	PF3K	ERS174640	Thailand	2012	1	63	349	52	49
PD0527-C	PF3K	ERS174527	Thailand	2012	1	49	145	46	44
PD0528-C	PF3K	ERS174641	Thailand	2012	0	43	137	46	39
PD0529-C	PF3K	ERS174642	Thailand	2012	0	52	162	57	54
PD0530-C	PF3K	ERS174643	Thailand	2012	1	55	179	54	51
PD0531-C	PF3K	ERS174528	Thailand	2012	0	57	225	59	56
PD0532-C	PF3K	ERS174644	Thailand	2012	1	51	163	59	57
PD0533-C	PF3K	ERS174529	Thailand	2012	0	25	95	25	24
PD0534-C	PF3K	ERS174530	Thailand	2012	0	38	508	14	8
PD0535-C	PF3K	ERS174645	Thailand	2012	0	49	140	52	50
PD0536-C	PF3K	ERS174646	Thailand	2012	0	83	267	84	80
PD0537-C	PF3K	ERS174531	Thailand	2012	0	53	465	26	20
PD0538-C	PF3K	ERS174532	Thailand	2012	0	78	214	77	71
PD0539-C	PF3K	ERS174647	Thailand	2012	1	50	151	51	50
PD0540-C	PF3K	ERS174648	Thailand	2012	0	51	173	59	57
PD0541-C	PF3K	ERS174649	Thailand	2012	1	49	165	52	52
PD0543-C	PF3K	ERS174650	Thailand	2012	1	46	160	52	47
PD0544-C	PF3K	ERS174651	Thailand	2012	1	59	173	58	54
PD0545-C	PF3K	ERS174652	Thailand	2012	1	50	157	57	54
PD0546-C	PF3K	ERS174653	Thailand	2012	1	48	147	49	45
PD0547-C	PF3K	ERS174654	Thailand	2012	0	42	136	44	43
PD0548-C	PF3K	ERS174655	Thailand	2012	1	62	199	64	60
PD0549-C	PF3K	ERS174533	Thailand	2012	1	48	148	50	47
PD0550-C	PF3K	ERS174534	Thailand	2011	1	49	157	51	49
PD0552-C	PF3K	ERS174535	Thailand	2011	1	49	165	53	50
PD0553-C	PF3K	ERS174536	Thailand	2012	1	48	152	49	45
PD0554-C	PF3K	ERS174656	Thailand	2012	1	75	417	61	58
PD0555-C	PF3K	ERS174537	Thailand	2012	1	49	159	63	58
PD0556-C	PF3K	ERS174538	Thailand	2012	0	46	156	49	47
PD0557-C	PF3K	ERS174657	Thailand	2012	0	52	153	51	49
PD0558-C	PF3K	ERS174658	Thailand	2012	0	41	143	43	37
PD0559-C	PF3K	ERS174539	Thailand	2012	0	52	159	52	51
PD0561-C	PF3K	ERS174659	Thailand	2012	1	49	150	52	48
PD0562-C	PF3K	ERS174660	Thailand	2012	1	53	306	48	37
PD0563-C	PF3K	ERS174661	Thailand	2012	0	49	165	50	48
PD0564-C	PF3K	ERS174662	Thailand	2012	1	57	142	57	57
PD0565-C	PF3K	ERS174663	Thailand	2012	1	49	149	49	47
PD0566-C	PF3K	ERS174664	Thailand	2012	0	86	335	92	86
PD0567-C	PF3K	ERS174665	Thailand	2012	0	54	162	54	53
PD0569-C	PF3K	ERS174666	Thailand	2012	1	50	142	49	47
PD0570-C	PF3K	ERS174667	Thailand	2012	0	51	156	54	49
PD0571-C	PF3K	ERS174668	Thailand	2012	0	42	128	45	44
PD0572-C	PF3K	ERS174540	Thailand	2012	1	61	186	62	59
PD0574-C	PF3K	ERS174541	Thailand	2012	0	44	162	46	43
PD0575-C	PF3K	ERS199536;ERS199596	Thailand	2012	0	43	160	52	46
PD0576-C	PF3K	ERS199541;ERS199601	Thailand	2012	0	42	161	48	45
PD0577-C	PF3K	ERS199546;ERS199606	Thailand	2012	0	100	285	102	98
PD0578-C	PF3K	ERS199551;ERS199611	Thailand	2012	0	13	84	12	9
PD0580-C	PF3K	ERS199561;ERS199621	Thailand	2012	0	43	142	50	46
PD0581-C	PF3K	ERS199566;ERS199626	Thailand	2012	0	49	153	49	47
PD0582-C	PF3K	ERS199571;ERS199631	Thailand	2012	1	49	154	55	53
PD0583-C	PF3K	ERS199576;ERS199636	Thailand	2012	0	43	133	47	43
PD0584-C	PF3K	ERS199581;ERS199641	Thailand	2012	0	44	136	48	46
PD0585-C	PF3K	ERS199646	Thailand	2012	1	64	347	55	53
PD0586-C	PF3K	ERS199591;ERS199651	Thailand	2012	0	45	145	48	45
PD0587-C	PF3K	ERS224908	Thailand	2012	0	44	138	47	44
PD0589-C	PF3K	ERS224918	Thailand	2012	0	49	178	44	39
PD0590-C	PF3K	ERS224865	Thailand	2012	1	47	170	51	48
PD0591-C	PF3K	ERS224903	Thailand	2012	0	44	250	45	38
PD0592-C	PF3K	ERS224894	Thailand	2012	0	133	842	104	95
PD0626-C	PF3K	ERS347519	Thailand	2011	1	50	320	37	30
PD0627-C	PF3K	ERS347527	Thailand	2011	0	50	224	41	32
PD0629-C	PF3K	ERS347448	Thailand	2011	0	45	137	49	48
PD0630-C	PF3K	ERS347456	Thailand	2011	0	46	146	45	41
PD0632-C	PF3K	ERS347472	Thailand	2012	1	47	136	47	46
PD0635-C	PF3K	ERS347496	Thailand	2012	0	47	145	49	43
PD0636-C	PF3K	ERS347504	Thailand	2012	0	48	146	48	45
PD0637-C	PF3K	ERS347512	Thailand	2012	0	50	169	49	45
PD0638-C	PF3K	ERS347520	Thailand	2011	1	47	278	35	30
PD0640-C	PF3K	ERS347536	Thailand	2012	1	48	282	30	21
PD0648-C	PF3K	ERS347505	Thailand	2011	1	48	303	35	29
PD0651-C	PF3K	ERS347715	Thailand	2012	0	38	163	44	37
PD0658-C	PF3K	ERS347685	Thailand	2012	0	43	151	44	42
PD0659-C	PF3K	ERS347692	Thailand	2012	0	43	162	49	42
PD0662-C	PF3K	ERS347710	Thailand	2012	0	48	171	45	43
PD0663-C	PF3K	ERS347716	Thailand	2012	0	42	143	44	38
PD0664-C	PF3K	ERS347644	Thailand	2012	0	45	149	44	43
PD0665-C	PF3K	ERS347651	Thailand	2012	0	40	388	9	6
PD0667-C	PF3K	ERS347665	Thailand	2013	1	86	307	89	81
PD0668-C	PF3K	ERS347672	Thailand	2013	0	45	142	50	47
PD0670-C	PF3K	ERS347686	Thailand	2013	0	48	156	46	45
PF0004-C	PF3K	ERS010122	Ghana	2009	0	162	453	165	140
PF0006-C	PF3K	ERS154461	Ghana	2009	0	214	955	189	160
PF0009-C	PF3K	ERS010582	Ghana	2009	0	120	275	126	113
PF0010-C	PF3K	ERS010583	Ghana	2009	0	118	373	128	111
PF0011-C	PF3K	ERS010584	Ghana	2009	1	48	167	55	51
PF0012-C	PF3K	ERS164669	Ghana	2009	0	123	1100	40	33
PF0016-C	PF3K	ERS010115	Ghana	2009	0	18	170	3	1
PF0020-C	PF3K	ERS154462	Ghana	2009	0	58	178	63	63
PF0021-C	PF3K	ERS010585	Ghana	2009	0	102	288	105	96
PF0022-C	PF3K	ERS009734	Ghana	2009	0	63	143	67	62
PF0024-C	PF3K	ERS009727	Ghana	2009	0	127	450	100	86
PF0025-C	PF3K	ERS010586	Ghana	2009	0	63	262	56	48
PF0026-C	PF3K	ERS010587	Ghana	2009	0	263	3174	24	9
PF0027-C	PF3K	ERS154517	Ghana	2009	0	115	624	75	69
PF0029-C	PF3K	ERS010123	Ghana	2009	0	195	510	203	179
PF0030-C	PF3K	ERS154454	Ghana	2009	0	208	1270	130	95
PF0031-C	PF3K	ERS010105	Ghana	2009	0	13	136	1	1
PF0033-C	PF3K	ERS154455	Ghana	2009	0	119	350	120	112
PF0035-C	PF3K	ERS010089	Ghana	2009	1	57	137	61	58
PF0036-C	PF3K	ERS010084	Ghana	2009	0	129	483	103	88
PF0037-C	PF3K	ERS164655	Ghana	2009	1	67	199	69	67
PF0038-C	PF3K	ERS010124	Ghana	2009	0	131	300	131	121
PF0039-C	PF3K	ERS010107; ERS022938	Ghana	2009	0	84	211	90	84
PF0040-C	PF3K	ERS010073	Ghana	2009	0	183	682	163	126
PF0041-C	PF3K	ERS154456	Ghana	2009	1	52	187	62	61
PF0042-C	PF3K	ERS010108; ERS022939	Ghana	2009	0	67	179	68	65
PF0043-C	PF3K	ERS009728	Ghana	2009	0	69	213	66	53
PF0045-C	PF3K	ERS010110; ERS022940	Ghana	2009	0	91	233	95	89
PF0046-C	PF3K	ERS009735	Ghana	2009	0	133	465	125	93
PF0047-C	PF3K	ERS010081; ERS022941	Ghana	2009	0	56	141	63	58
PF0048-C	PF3K	ERS154480	Ghana	2009	0	129	551	104	87
PF0049-C	PF3K	ERS010125	Ghana	2009	0	262	887	234	195
PF0050-C	PF3K	ERS010111	Ghana	2009	0	11	87	3	2
PF0051-C	PF3K	ERS009723; ERS022942	Ghana	2009	0	118	287	120	108
PF0052-C	PF3K	ERS164658	Ghana	2009	0	60	200	61	57
PF0053-C	PF3K	ERS164659	Ghana	2009	0	62	251	63	57
PF0054-C	PF3K	ERS010090; ERS022943	Ghana	2009	0	90	296	96	85
PF0057-C	PF3K	ERS022944; ERS010087	Ghana	2009	0	117	269	119	111
PF0058-C	PF3K	ERS009730	Ghana	2009	1	65	164	75	66
PF0062-C	PF3K	ERS010088; ERS022945	Ghana	2009	0	51	117	55	53
PF0063-C	PF3K	ERS013091	Ghana	2009	0	211	626	176	155
PF0064-C	PF3K	ERS164643	Ghana	2009	0	71	282	68	65
PF0065-C	PF3K	ERS164644	Ghana	2009	0	90	680	69	62
PF0066-C	PF3K	ERS164640	Ghana	2009	0	64	178	64	60
PF0073-C	PF3K	ERS010086; ERS022947	Ghana	2009	0	59	146	64	62
PF0074-C	PF3K	ERS009725	Ghana	2009	0	61	179	61	53
PF0075-C	PF3K	ERS154481	Ghana	2009	0	151	676	127	122
PF0077-C	PF3K	ERS010072	Ghana	2009	0	130	359	126	111
PF0078-C	PF3K	ERS164682	Ghana	2009	1	60	766	6	2
PF0079-C	PF3K	ERS154482	Ghana	2009	0	61	210	69	65
PF0080-C	PF3K	ERS010085	Ghana	2009	0	134	415	122	111
PF0081-C	PF3K	ERS009681	Ghana	2009	0	103	331	100	83
PF0084-C	PF3K	ERS009724	Ghana	2009	0	202	452	227	208
PF0090-C	PF3K	ERS010083	Ghana	2009	0	121	337	106	96
PF0092-C	PF3K	ERS164649	Ghana	2009	1	62	202	66	63
PF0095-C	PF3K	ERS154457	Ghana	2009	0	59	186	66	62
PF0096-C	PF3K	ERS013064	Ghana	2009	0	195	537	172	151
PF0097-C	PF3K	ERS013065	Ghana	2009	0	92	210	95	90
PF0098-C	PF3K	ERS011021	Ghana	2009	1	66	200	68	62
PF0099-C	PF3K	ERS009979	Ghana	2009	0	22	352	2	2
PF0100-C	PF3K	ERS013092	Ghana	2009	0	64	152	72	69
PF0101-C	PF3K	ERS013066	Ghana	2009	0	179	720	142	115
PF0102-C	PF3K	ERS013093	Ghana	2009	0	102	265	75	69
PF0103-C	PF3K	ERS013067	Ghana	2009	0	165	536	150	127
PF0104-C	PF3K	ERS013068	Ghana	2010	0	208	540	225	209
PF0105-C	PF3K	ERS164646	Ghana	2010	0	65	225	68	61
PF0106-C	PF3K	ERS164652	Ghana	2010	0	55	191	60	57
PF0107-C	PF3K	ERS013094	Ghana	2009	0	52	180	48	40
PF0108-C	PF3K	ERS011022	Ghana	2009	0	54	193	54	52
PF0109-C	PF3K	ERS013069	Ghana	2009	0	162	428	158	134
PF0111-C	PF3K	ERS164661	Ghana	2010	0	71	312	64	62
PF0112-C	PF3K	ERS013070	Ghana	2010	0	109	299	110	101
PF0113-C	PF3K	ERS013071	Ghana	2009	1	83	206	83	75
PF0114-C	PF3K	ERS013072	Ghana	2009	0	96	226	108	94
PF0115-C	PF3K	ERS013073	Ghana	2009	0	63	170	77	72
PF0116-C	PF3K	ERS013095	Ghana	2013	0	233	759	227	187
PF0117-C	PF3K	ERS011023	Ghana	2009	0	75	395	61	43
PF0118-C	PF3K	ERS164637	Ghana	2010	0	126	617	107	89
PF0119-C	PF3K	ERS164665	Ghana	2010	1	59	206	65	62
PF0122-C	PF3K	ERS013074	Ghana	2009	1	68	175	77	68
PF0123-C	PF3K	ERS013075	Ghana	2009	0	70	182	79	73
PF0124-C	PF3K	ERS164651	Ghana	2010	0	72	437	33	26
PF0125-C	PF3K	ERS013076	Ghana	2009	0	212	690	207	175
PF0127-C	PF3K	ERS011025	Ghana	2009	0	90	297	82	75
PF0129-C	PF3K	ERS154485	Ghana	2010	0	60	181	66	62
PF0130-C	PF3K	ERS013096	Ghana	2009	0	144	610	99	83
PF0131-C	PF3K	ERS013077	Ghana	2009	0	288	1119	260	214
PF0132-C	PF3K	ERS013078	Ghana	2009	0	203	851	154	136
PF0133-C	PF3K	ERS013079	Ghana	2009	1	56	211	57	50
PF0134-C	PF3K	ERS013080	Ghana	2009	0	414	1501	379	313
PF0136-C	PF3K	ERS013081	Ghana	2009	0	60	139	67	65
PF0137-C	PF3K	ERS013098	Ghana	2009	0	61	156	60	58
PF0138-C	PF3K	ERS164647	Ghana	2010	0	66	672	12	8
PF0140-C	PF3K	ERS013099	Ghana	2009	0	91	240	102	88
PF0141-C	PF3K	ERS013100	Ghana	2009	0	201	516	215	194
PF0142-C	PF3K	ERS011026	Ghana	2009	0	70	410	39	22
PF0143-C	PF3K	ERS013101	Ghana	2009	0	66	132	68	65
PF0144-C	PF3K	ERS154486	Ghana	2010	0	106	354	100	94
PF0145-C	PF3K	ERS013082	Ghana	2010	1	53	145	53	52
PF0146-C	PF3K	ERS154487	Ghana	2010	0	58	236	64	62
PF0148-C	PF3K	ERS011027	Ghana	2010	0	70	174	63	59
PF0149-C	PF3K	ERS154489	Ghana	2010	0	74	239	82	74
PF0150-C	PF3K	ERS154490	Ghana	2010	0	174	643	175	151
